user_id,exercise_type,reps,calories_burned,timestamp
1,push-up,1,0.4083333333333333,2024-11-07 00:05:06
1,pull-up,2,0.8166666666666667,2024-11-07 00:23:05
1,push-up,1,0.4083333333333333,2024-11-07 00:24:01
1,push-up,2,1.1666666666666665,2024-11-07 12:13:36
1,pull-up,0,0.0,2024-11-07 12:48:54
1,pull-up,4,1.4,2024-11-07 12:57:40
1,push-up,19,7.758333333333333,2024-11-07 12:58:53
1,push-up,8,7.466666666666667,2024-11-07 13:46:23
1,walk,0,0.0,2024-11-07 18:27:51
1,walk,1,0.4083333333333333,2024-11-07 18:29:27
1,push-up,2,1.8666666666666667,2024-11-07 18:33:37
1,push-up,0,0.0,2024-11-07 18:56:51
1,push-up,0,0.0,2024-11-07 18:57:14
1,pull-up,0,0.0,2024-11-07 18:58:45
1,push-up,3,2.8,2024-11-08 17:25:16
1,push-up,3,1.225,2024-11-08 17:49:48
1,push-up,3,1.225,2024-11-08 19:10:43
1,push-up,17,6.941666666666666,2024-11-08 19:12:24
1,push-up,1,0.4083333333333333,2024-11-10 10:36:47
1,push-up,0,0.0,2024-11-10 10:46:44
1,push-up,0,0.0,2024-11-10 10:50:00
1,push-up,0,0.0,2024-11-10 10:52:57
1,push-up,5,2.0416666666666665,2024-11-10 10:54:29
1,push-up,1,0.5833333333333333,2024-11-10 11:02:29
1,push-up,0,0.0,2024-11-10 11:02:42
1,push-up,0,0.0,2024-11-10 11:08:24
1,push-up,2,1.8666666666666667,2024-11-10 11:09:20
1,push-up,0,0.0,2024-11-10 11:13:57
1,push-up,0,0.0,2024-11-10 11:21:00
1,push-up,0,0.0,2024-11-10 11:28:45
1,push-up,0,0.0,2024-11-10 12:31:18
1,push-up,2,0.8166666666666667,2024-11-12 14:48:20
1,push-up,0,0.0,2024-11-12 14:55:45
1,push-up,0,0.0,2024-11-12 14:55:52
1,push-up,1,0.9333333333333333,2024-11-12 14:57:48
1,push-up,3,2.8,2024-11-12 14:59:34
1,push-up,4,1.6333333333333333,2024-11-12 15:08:26
1,push-up,0,0.0,2024-11-12 15:31:22
1,push-up,0,0.0,2024-11-12 15:50:54
1,push-up,0,0.0,2024-11-12 15:51:44
1,push-up,1,0.9333333333333333,2024-11-12 15:52:43
1,push-up,5,2.0416666666666665,2024-11-12 15:54:59
1,push-up,11,6.416666666666666,2024-11-12 15:57:49
1,push-up,0,0.0,2024-11-12 16:00:26
1,push-up,0,0.0,2024-11-12 16:01:15
1,push-up,9,5.249999999999999,2024-11-12 16:02:48
1,push-up,4,1.6333333333333333,2024-11-12 16:04:28
1,push-up,5,2.0416666666666665,2024-11-12 16:05:37
1,push-up,0,0.0,2024-11-12 21:29:36
1,push-up,1,0.5833333333333333,2024-11-12 21:30:33
1,push-up,16,6.533333333333333,2024-11-12 21:31:43
